#{"t_start": 1684990955.8267813, "env_id": "donkey-waveshare-v0"}
r,l,t
58.088269,256,3898.00918
208.750141,512,3920.940633
108.152682,256,3934.437413
56.129468,129,3937.856451
65.692537,176,3949.333001
201.09802,719,3982.990982
145.158876,256,3995.036556
51.41146,105,3997.929968
123.776081,151,4008.933141
132.627834,256,4021.286594
106.073895,277,4033.906434
163.188679,235,4045.235958
162.54437,256,4057.773998
202.838976,256,4070.684523
163.590147,248,4075.931226
-0.233248,8,4084.587695
127.705434,256,4097.703205
225.768099,256,4109.95561
119.967752,159,4113.779629
58.745403,97,4124.983541
224.406997,256,4137.43018
257.51483,256,4151.385531
292.840081,256,4163.290752
122.390687,115,4166.403516
129.133853,141,4176.251328
106.331027,113,4179.267777
156.132657,143,4189.025766
230.277102,256,4200.660162
281.620585,256,4212.428111
173.484816,256,4224.12477
198.576065,256,4235.901154
219.999988,219,4240.644319
16.698589,37,4248.79669
277.688881,256,4261.360507
103.166388,100,4264.180107
154.083422,156,4274.21879
246.819066,256,4286.075096
266.340718,256,4298.375349
233.204858,256,4310.566418
228.930168,256,4322.805093
291.22796,256,4334.700576
522.350853,512,4357.319895
275.967346,256,4369.057556
251.726524,256,4381.099155
205.860627,215,4385.839183
26.805165,41,4394.30135
227.89179,256,4406.189356
279.552505,256,4419.383003
114.771177,152,4423.082016
76.319486,104,4433.733943
132.367668,159,4437.539052
49.728941,97,4446.726776
187.554458,256,4458.632521
111.817785,192,4462.931639
21.279233,64,4472.348565
242.743832,256,4484.086309
31.693768,52,4486.146481
21.768522,42,4488.074301
42.514744,69,4490.441599
35.836805,59,4492.64931
12.377,34,4500.906453
12.969988,45,4502.85914
10.421806,31,4504.610241
8.392193,32,4506.382555
9.788172,33,4508.153045
12.07675,39,4510.017026
10.827008,43,4511.915131
11.523638,33,4519.977774
7.416676,24,4521.568128
8.711066,26,4523.20616
7.386118,25,4524.832658
7.062752,23,4526.429703
8.529206,26,4528.049382
7.586488,25,4529.646848
7.701609,25,4531.261439
8.810155,26,4532.876204
7.300049,24,4534.468129
7.894103,25,4536.073357
-0.669532,7,4544.204578
9.725044,30,4545.89616
7.942056,25,4547.526473
8.199491,24,4549.164857
7.694432,25,4550.769075
6.930751,22,4552.374949
8.097233,27,4554.01889
6.835117,23,4555.629849
8.06149,28,4557.276474
6.644601,22,4558.886062
7.518222,27,4560.552432
-1.0,3,4568.41565
7.501751,25,4570.051079
7.872079,25,4571.687474
8.808097,28,4573.371604
7.32666,23,4574.960616
8.054906,29,4576.63216
7.097612,25,4578.267475
9.195183,28,4579.934578
7.191035,24,4581.551398
7.291994,23,4583.136917
7.781227,25,4584.779407
8.79548,31,4592.930557
9.944736,34,4594.724677
9.339237,39,4596.595288
8.775635,37,4598.41822
8.530326,39,4600.252984
9.657597,42,4602.147647
9.677896,34,4603.91854
7.635117,44,4612.494097
8.81143,31,4614.213451
8.294344,38,4616.0429
8.472628,31,4617.75744
7.770101,28,4619.461826
8.648492,37,4621.268502
7.267229,33,4623.044428
0.439274,15,4631.268506
15.129383,38,4633.129862
11.092152,38,4635.000493
8.338662,35,4636.796382
9.37982,44,4638.724406
8.620637,32,4640.462531
8.854202,30,4642.169495
9.041512,33,4643.914054
-0.952118,6,4651.888652
8.510005,31,4653.598687
10.636013,38,4655.476508
10.216143,37,4657.332004
14.354365,41,4659.22433
15.202273,49,4661.244042
9.2956,39,4663.10755
6.297804,21,4671.909689
19.911889,56,4674.042614
11.776468,40,4675.935159
20.304831,61,4678.16243
10.687689,42,4680.048196
15.578599,45,4682.017877
-0.094397,12,4690.252626
16.802792,39,4692.12735
16.879934,44,4694.021581
13.718054,37,4695.847143
17.042607,47,4697.870399
15.115825,52,4699.924877
11.800588,37,4708.604567
24.839439,68,4710.951804
18.632009,57,4713.107879
14.896433,45,4715.045379
20.671729,43,4716.938924
18.306056,43,4725.494
40.781539,77,4727.932649
30.050371,67,4730.1847
20.873341,43,4732.098315
20.862837,45,4734.069201
19.688422,69,4743.225449
19.677102,60,4745.433738
39.24973,76,4747.88219
39.272861,73,4750.302529
-1.0,2,4758.818273
27.670288,65,4761.134112
31.232701,71,4763.511438
90.082939,120,4773.178388
84.365481,134,4776.628189
23.433176,60,4778.832021
14.389833,62,4787.850242
46.001875,72,4790.20583
58.396167,88,4792.853498
95.118928,96,4802.412248
53.723297,79,4804.883304
60.587314,98,4807.708768
53.777097,79,4816.488948
114.490496,256,4828.799852
122.672048,256,4841.306759
46.429974,256,4853.635027
155.596,512,4875.848861
126.488156,256,4887.560258
61.143423,256,4899.492645
153.069903,512,4921.822127
